Trial, Divers, PDCS Mild, PDCS Serious
140 45 3:20 Air 5 18 114 141:00 2 Z, 1, 0.050837, 0.007022
140 50 3:20 Air 8 27 145 184:00 2 Z, 1, 0.056144, 0.007780
140 55 3:00 Air 1 15 29 171 219:40 2.5 Z, 1, 0.061328, 0.008526
140 60 3:00 Air 2 23 28 209 265:40 3, 1, 0.064717, 0.009015
140 70 3:00 Air 14 25 29 276 347:40 3.5, 1, 0.071030, 0.009933
140 80 2:40 Air 2 24 25 29 362 445:20 4, 1, 0.075572, 0.010598
140 90 2:40 Air 12 23 26 38 443 545:20 5, 1, 0.079634, 0.011196
150 8 5:00  Air 0 5:00 0 E, 1, 0.006506, 0.000876
150 10 4:20 Air 2 7:00 0.5 F, 1, 0.007911, 0.001066
150 15 4:20 Air 8 13:00 0.5 H, 1, 0.012785, 0.001727
150 20 4:00 Air 2 15 21:40 0.5 K, 1, 0.018827, 0.002552
150 25 4:00 Air 7 29 40:40 1 M, 1, 0.026373, 0.003591
150 30 3:40 Air 4 7 45 60:20 1.5 O, 1, 0.034659, 0.004742
150 35 3:40 Air 6 7 74 91:20 1.5 Z, 1, 0.042471, 0.005838
150 40 3:20 Air 2 6 14 106 132:00 2 Z, 1, 0.049475, 0.006829
150 45 3:20 Air 3 8 24 142 181:00 2 Z, 1, 0.055282, 0.007657
150 50 3:20 Air 4 14 28 170 220:00 2.5 Z, 1, 0.060924, 0.008467
150 55 3:20 Air 7 21 28 212 272:00 3, 1, 0.064821, 0.009030
150 60 3:20 Air 11 26 28 248 317:00 3, 1, 0.068305, 0.009536
150 70 3:00 Air 3 24 25 28 330 413:40 4, 1, 0.074511, 0.010443
150 80 3:00 Air 15 23 26 35 430 532:40 4.5, 1, 0.078799, 0.011073
150 90 2:40 Air 3 22 23 26 47 496 620:20 5.5, 1, 0.083665, 0.011793
150 120 2:20 Air 3 20 22 23 50 75 608 804:00 8, 1, 0.098334, 0.013989
150 180 2:00 Air 2 19 20 42 48 79 121 694 1027:40 10.5, 1, 0.122339, 0.017678
160 7 5:20 Air 0 5:20 0 E, 1, 0.006298, 0.000848
160 10 4:40 Air 4 9:20 0.5 F, 1, 0.008665, 0.001168
160 15 4:20 Air 2 10 17:00 0.5 I, 1, 0.014288, 0.001932
160 20 4:00 Air 1 4 19 28:40 0.5 L, 1, 0.021325, 0.002895
160 25 4:00 Air 4 7 35 50:40 1 N, 1, 0.030009, 0.004094
160 30 3:40 Air 2 6 7 62 81:20 1.5 Z, 1, 0.039170, 0.005373
160 35 3:40 Air 4 6 8 89 111:20 1.5 Z, 1, 0.047257, 0.006514
160 40 3:40 Air 6 6 21 134 171:20 2 Z, 1, 0.053643, 0.007423
160 45 3:20 Air 2 5 11 28 166 216:00 2.5 Z, 1, 0.059708, 0.008292
160 50 3:20 Air 2 8 19 28 207 268:00 3, 1, 0.064436, 0.008975
160 55 3:20 Air 3 11 26 28 248 320:00 3, 1, 0.068176, 0.009518
160 60 3:20 Air 6 17 25 29 291 372:00 3.5, 1, 0.071831, 0.010050
160 70 3:20 Air 15 23 26 29 399 496:00 4.5, 1, 0.077372, 0.010863
160 80 3:00 Air 6 21 24 25 44 482 605:40 5.5, 1, 0.082466, 0.011615
170 6 5:40 Air 0 5:40 0 D, 1, 0.005969, 0.000803
170 10 5:00 Air 6 11:40 0.5 G, 1, 0.009593, 0.001293
170 15 4:40 Air 3 13 21:20 0.5 J, 1, 0.015953, 0.002159
170 20 4:20 Air 3 6 24 38:00 1 M, 1, 0.024262, 0.003299
170 25 4:00 Air 1 7 7 41 60:40 1 O, 1, 0.034119, 0.004666
170 30 4:00 Air 5 7 7 77 100:40 1.5 Z, 1, 0.043688, 0.006009
170 35 3:40 Air 2 6 6 15 120 153:20 2 Z, 1, 0.051192, 0.007073
170 40 3:40 Air 4 6 9 25 158 206:20 2.5 Z, 1, 0.058047, 0.008053
170 45 3:40 Air 5 7 16 28 197 257:20 2.5 Z, 1, 0.063532, 0.008844
170 50 3:20 Air 1 5 11 23 28 244 316:00 3, 1, 0.067551, 0.009427
170 55 3:20 Air 2 7 16 26 28 289 372:00 3.5, 1, 0.071621, 0.010020
170 60 3:20 Air 2 11 21 26 28 344 436:00 4, 1, 0.074896, 0.010499
170 70 3:20 Air 7 19 24 25 39 454 572:00 5, 1, 0.080329, 0.011299
170 80 3:20 Air 17 22 23 26 53 525 670:00 6, 1, 0.086991, 0.012287
170 90 3:00 Air 8 19 22 23 37 66 574 752:40 7, 1, 0.093161, 0.013210
170 120 2:40 Air 9 19 20 22 42 60 94 659 928:20 9, 1, 0.109238, 0.015650
170 180 2:20 Air 10 18 19 40 43 70 97 156 703 1159:00 11.5, 1, 0.132042, 0.019203
180 6 6:00 Air 0 6:00 0 E, 1, 0.006589, 0.000887
180 10 5:20 Air 8 14:00 0.5 G, 1, 0.010664, 0.001439
180 15 4:40 Air 2 3 14 24:20 0.5 K, 1, 0.017703, 0.002398
180 20 4:20 Air 1 5 7 29 47:00 1 M, 1, 0.027405, 0.003733
180 25 4:20 Air 5 6 7 57 80:00 1.5 O, 1, 0.038240, 0.005243
180 30 4:00 Air 3 6 6 7 95 121:40 1.5 Z, 1, 0.047734, 0.006582
180 35 3:40 Air 1 5 6 6 22 144 188:20 2 Z, 1, 0.055277, 0.007656
180 40 3:40 Air 2 6 5 13 28 178 236:20 2.5, 1, 0.062220, 0.008654
180 45 3:40 Air 4 5 10 20 28 235 306:20 3, 1, 0.066609, 0.009290
180 50 3:40 Air 4 8 13 25 29 277 360:20 3.5, 1, 0.071080, 0.009941
180 55 3:40 Air 5 11 19 26 28 336 429:20 4, 1, 0.074793, 0.010484
180 60 3:20 Air 1 8 13 23 25 31 406 511:00 4.5, 1, 0.077567, 0.010892
180 70 3:20 Air 4 12 21 24 25 48 499 637:00 5.5, 1, 0.083966, 0.011837
190 5 6:20 Air 0 6:20 0 D, 1, 0.006067, 0.000816
190 10 5:20 Air 2 8 16:00 0.5 H, 1, 0.011693, 0.001579
190 15 4:40 Air 1 3 3 16 28:20 0.5 K, 1, 0.019719, 0.002674
190 20 4:20 Air 1 2 6 7 34 55:00 1 N, 1, 0.030761, 0.004199
190 25 4:20 Air 2 6 7 7 72 99:00 1.5 Z, 1, 0.042393, 0.005826
190 30 4:00 Air 1 6 5 7 13 122 158:40 2 Z, 1, 0.051516, 0.007119
190 35 4:00 Air 4 5 6 8 26 165 218:40 2.5 Z, 1, 0.059208, 0.008220
190 40 3:40 Air 1 5 5 8 17 28 217 285:20 3, 1, 0.064973, 0.009052
190 45 3:40 Air 2 5 6 12 24 29 264 346:20 3.5, 1, 0.069792, 0.009753
190 50 3:40 Air 3 5 10 17 26 28 324 417:20 4, 1, 0.074081, 0.010380
190 55 3:40 Air 4 8 10 24 25 30 397 502:20 4.5, 1, 0.077215, 0.010840
190 60 3:40 Air 5 10 16 24 25 40 454 578:20 5, 1, 0.080352, 0.011302
190 90 3:20 Air 11 19 20 21 28 51 83 626 863:00 8.5, 1, 0.102367, 0.014601
190 120 3:00 Air 15 17 19 20 37 46 79 113 691 1040:40 10.5, 1, 0.120515, 0.017393
200 5 6:40 Air 0 6:40 0 E, 1, 0.006639, 0.000894
200 10 5:40 Air 3 8 17:20 0.5 H, 1, 0.012758, 0.001723
200 15 5:00 Air 2 3 5 19 34:40 0.5 L, 1, 0.022079, 0.002998
200 20 4:40 Air 2 4 6 7 43 67:20 1 O, 1, 0.034522, 0.004723
200 25 4:20 Air 1 5 6 6 7 85 115:00 1.5 Z, 1, 0.046561, 0.006415
200 30 4:20 Air 4 6 5 7 19 145 191:00 2 Z, 1, 0.055116, 0.007633
200 35 4:00 Air 2 5 5 6 13 28 188 251:40 2.5, 1, 0.062800, 0.008738
200 40 4:00 Air 4 5 5 11 21 28 249 327:40 3.5, 1, 0.067931, 0.009482
200 45 3:40 Air 1 4 5 10 14 25 28 306 397:20 3.5, 1, 0.072812, 0.010194
